a,b
답변,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. "
유사질문,1. 조현병 약을 먹으면 완치가 되나요?
,2. 약을 먹으면 치료가 가능한 질환인가요?
,3. 약을 먹으면 의미 있는 삶을 사는 것이 가능한가요?
,4. 약을 먹으면 일상생활을 하는 것에 문제가 없나요? 
,5. 약을 먹으면 다른 사람들과 잘 지낼 수 있나요?
,조현병 치료제를 먹으면 증상이 나아지나요?
,한번 약을 먹으면 계속 먹어야 하나요?
,약을 꼭 먹어야 완치가 가능한가요?
,약을 먹으면 치료에 호전이 있나요?
,약을 먹으면 정상으로 돌아갈 수 있나요?
,약이 완치를 시킬 수 있나요?
,약을 먹어야 완치가 되나요?
,치료를 하려면 약을 먹어야 하나요?
,의미 있는 삶을 살기 위해선 약을 먹어야 하나요?
,일상생활을 하기 위해선 약을 먹어야 하나요?
,다른 사람들과 지내기 위해선 약을 먹어야 하나요?
,조현병의 원인은 무엇인가요?
,조현병 약을 먹기 시작한 뒤에 중단시 부작용은 없나요?
,조현병 약물치료는 안전한가요?
,약을 평생 먹어야 하나요?
,많이 호전되었다고 느낀다면 약을 의사판단 없이 중단해도 되나요?
,약이 항생제 역할을 하나요?
,도파민 결핍도 원인이 되나요?
,조현병은 불치병인가요?
,조현병을 예방하려면 어떻게 해야하나요?
,약을 하루 잊어버리고 안먹어도 괜찮나요?
,약을 먹으면 안심할수 있나요?
,조현병에 대해서 자세히 알고싶습니다.
,약의 효능은 무엇인가요?
,조현병 판정 받으면 다음에 해야할 일은 무엇인가요?
,약을 먹고 안먹고 차이가 있나요?
,조현병 치료제에 대한 연구 자료가 있나요?
,약을 하루 몇번 복용해야하나요?
,약을 먹으면 다른 사람들이 조현병이라는 사실을 모르나요?
,저도 모르게 조현병 증상이 심해질까봐 두렵습니다. 약을먹으면 괜찮나요?
,약을 먹으면 사회생활 문제 없나요?
,약으로만 완치가 가능한가요?
,조현병은 완치가 가능한가요?
,약을 먹으면 효과가 있나요?
,약을 복용하면 효과가 있나요?
,약물 복용 시 효과가 있나요?
,약물 복용 시 일상생활을 할 수 있나요?
,조현병의 원인은 뭔가요?
,약을 복용해야한 하나요?
,약을 복용하면 일상생활이 가능한가요?
,약을 복용하면 다른 사람과 잘 지낼수 있나요?
,조현병 약물치료는 위험한가요?
,조현병 약을 먹으면 완치가 되나요?
,조현병 약물치료를 받으면 효과가 있나요?
,조현병 약물치료를 받으면 완치가 가능한가요?
,약물치료시 증상이 호전되나요?
,약물치료시 증상이 호전될수 있나요?
,약으로 증상이 좋아질 수 있나요?
,조현병은 왜 걸리나요?
,조현병이 걸리는 이유가 있나요?
,조현병은 완치가 가능한가요?
,조현병 치료 후 재발이 될수도 있나요?
,조현병 약물치료 후에 재발 가능성이 있나요?
,조현병 완치 후에도 약물 복용을 계속 해야하나요?
,조현병 증상이 호전되면 약물치료를 중단해도 되나요?
,조현병 치료가 가능한가요?
,일상생활 복귀가 가능할까요?
,완치는 될 수 있을까요?
,약물의 부작용은 있나요?
,조현병은 무엇인가요?
,치료가 가능한 병인가요?
,조현병 약은 계속 먹어야 하나요?
,약물 치료로 완치가 될까요?
,다시 원래의 삶으로 돌아가고 싶어요
,예전처럼 생활할 수 있을까요?
,조현병에 걸리는 원인은 무엇인가요?
,조현병에 걸리는 이유는 무엇인가요?
,조현병은 왜 걸리나요?
,조현병에 약물치료가 도움이 되나요?
,조현병에 약이 얼마나 도움이 되나요?
,약을 먹으면 옛날처럼 돌아갈 수 있나요?
,약을 먹으면 고칠 수 있나요?
,약을 먹으면 증상이 없어지는 건가요?
,약을 먹으면 어떻게 되나요?
,약을 먹으면 괜찮아질까요?
,약을 꼭 먹어야되나요?
,조현병 치료제를 안먹어도 되나요?
,조현병 약을 언제까지 먹어야 되나요?
,조현병에 약이 도움이 되나요?
,조현병 약 복용시 어떻게 되나요?
,조현병 약은 평생 먹어야되는 건가요?
,조현병은 왜 생기는 건가요?
,조현병이 생기는 원인이 무엇인가요?
,조현병은 발생 원인이 무엇인가요?
,얼마나 약물치료를 해야 완치가 되나요?
,완치까지 얼마나 걸리나요?
,약물치료가 필수인가요?
,조현병이 완치가 가능한 병인가요?
,조현병 약에 부작용은 없나요?
,약물치료에도 악화될 수 있나요?
,약을 먹어도 악화될 수 있나요?
,약을 먹어도 변화가 없을 수 있나요?
,약물치료를 하면 변화가 있나요?
,조현병 치료에는 약물치료가 필수인가요?
,조현병 치료에는 꼭 약을 먹어야 하나요?
,중간에 약을 중단 할 수 있나요?
,약을 먹으면 조현병 증세가 사라지나요?
,약을 먹으면 효과가 바로 나타나나요?
,약을 먹다가 중간에 멈추면 어떻게 되나요?
,약을 먹다가 중간에 안먹어도 되나요?
,약물치료를 해야 일상생활이 가능한가요?
,조현병은 완치가 되는 병인가요?
,약을 먹다가 중간에 중지해도 되겠죠?
,약을 먹으면 얼마만에 완치할 수 있나요?
, 약은 환자가 구매할 수 있을만한 가격인가요?
, 조현병 약물치료의 부작용은 있나요?
, 약의 복용기간은 어느정도 인가요?
, 약은 환자가 구매할 수 있을만한 가격인가요?
, 조현병 약물치료의 부작용은 있나요?
, 약의 복용기간은 어느정도 인가요?
,조현병의 후유증은 없을까요?
,조현병의 재발 가능성은 있을까요?
,조현병의 약 부작용으로는 어떤 사례가 있을까요?
,약을 먹어야 치료가 되나요?
,약에 부작용은 없나요?
,약을 먹다가 끊어도 괜찮나요?
,약을 먹어야 일상생활이 가능한가요?
,약을 먹으면 증상이 나아지나요?
,약은 무슨 성분인가요
,완치가 되면 약을 그만 먹어도 되나요
,약물 치료는 어떤 방식으로 진행되나요
,조현병 약을 계속 복용하면 완치될까요?
,조현병은 약을 먹으면 완치할 수 있는 질환인가요?
,조현병 약을 계속 복용하면 일상 생활에 지장이 없을까요?
,약을 먹으면 전보다는 나은 생활을 할 수 있나요?
,조현병에 걸리면 완치가 어렵나요?
,약을 먹으면 괜찮아질 수 있을까요?
,조현병 약물치료의 부작용은 없나요?
,약물치료만으로도 증상이 완화되나요?
,약을 먹어야지만 낫나요?
,약의 효능은 어떻게 되나요?
,약을 먹지 않으면 일상 생활에 지장이 생기나요?
,약을 먹어야지 완치가 가능한가요?
,꼭 약을 먹어야하나요?
,약물치료는 안전한가요?
,약을 먹으면 호전될 수 있나요?
,약을 먹으면 정상으로 돌아갈 수 있나요?
,약은 잘 듣나요?
,약물의 위험성은 어느 정도인가요?
,약의 위험성은 어느 정도인가요?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
