Column1,Column2,Column3
답변,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력이 현재보다 더 좋아지기는 어렵습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",
유사질문,1. 내가 처방받은 약은 OOOO 인데 이 약을 복용하면 기억력이 좋아지나요?,
,제가 먹는 약이 기억력에 도움이 될까요?,
,약을 먹으면 기억력이 좋아질까요?,
,내가 처방받은 약은 OOOO 인데 먹으면 기억력 증강에 도움이 될까요?,
,이 약을 복용하면 기억력이 평소 이상으로 올라가기도 하나요?,
,약을 먹으면 기억력이 좋아지나요?,
,약을 먹으면 증상이 개선되나요?,
,OOOO이 기억력에 효과가 있나요?,
,지금 처방받고 있는 약이 기억력에 어떤 영향을 끼치는지 알려주세요.,
답변,"현재 처방받고 계신 약제는 증상 개선을 위한 약제이지만 기억력 저하를 막을 수는 없습니다. 그러나, 장기간 꾸준히 복용하는 것이 추후 기억력 저하의 진행을 느리게 합니다. ",
유사질문,1. 내가 처방받은 약은 OOOO 인데 이 약을 복용하면 더 이상 기억장애가 진행하지 않고 멈출 수 있나요?,
,제가 먹고 있는 약이 기억력이 떨어지는 것을 막을 수 있나요?,
,OOOO를 먹으면 기억력이 떨어지는 것이 나아질까요?,
,내가 처방받은 약은 OOOO 인데 이 약을 복용하면 기억력이 좋아질까요?,
,약을 복용하면 기억장애가 완치될 수 있을까요?,
,이 약이 기억장애 진행을 멈출 수 있나요?,
,약을 먹으면 기억력이 좋아지나요?,
,처방받은 약을 먹으면 기억장애를 멈출 수 있나요?,
답변,환자의  증상은 다시 의료진과 상담이 필요할 것 같습니다. 병원 예약을 조정하여서 진료를 받으세요.,
유사질문,1. 내가 처방받은 약은 OOOO 인데 이 약을 복용해도 계속 헛것이 보입니다. 어떻게 해야 하나요?,
,OOOO를 먹었는데도 이상한 것이 자꾸 보여요,
,약을 먹고 있는데 환각이 보이는 것 같습니다.,
,내가 처방받은 약은 OOOO 인데 약 복용시 눈앞에 헛것이 자꾸 보입니다.,
,약을 먹어도 계속 헛것이 보여요,
,약을 먹어도 증상이 개선되고 있는 것 같지 않아요,
,"이상한 것이 자꾸 보이는데, 어떻게 해야 하나요?",
,OOOO을 먹어도 계속 헛것이 보입니다.,
,처방받은 약을 먹어도 증상이 개선되지 않고 계속 환영이 보이는데 어떻게 해야하나요?,
,"이상한 소리가 자꾸 들리는 것 같은데, 어떻게 해야 하나요? -> 이동",
답변,환자의  증상은 다시 의료진과 상담이 필요할 것 같습니다. 병원 예약을 조정하여서 진료를 받으세요.,
유사질문,1. 환자가 돈을 훔쳐갔다고 가족들을 의심하고 요양보호사가 방문하는 것을 거부합니다. ,
,환자가 가족을 믿지 않고 의심합니다.,
,"가족들을 의심하는 것 같은데, 어떻게 해야 할까요?",
,환자가 계속 가족들을 의심합니다. 방법이 있을까요?,
,환자가 새로운 사람을 거부하고 가족들조차 믿지 않아요.,
답변,환자의 증상은 다시 의료진과 상담이 필요할 것 같습니다. 병원 예약을 조정하여서 진료를 받으세요.,
유사질문,1. 환자가 배우자의 외도를 의심하고 폭력적으로 변했습니다. ,
,환자가 치료 과정에서 폭력적으로 변한 것 같습니다.,
,환자가 자꾸 폭력적으로 행동합니다.,
,환자가 보호자의 말을 믿지를 못합니다.,
,환자가 배우자에게 바람을 폈다고 의심하면서 소리를 지르고 언성을 높이면서 감정적으로 변했어요,
,"집을 찾아가지 못하고 있는데, 어떻게 해야 하나요?",
,약물치료를 시작하고나서 남이 의심스럽습니다,
답변,"해당 약제는 치매환자의 증상을 개선하기 위한 약제이며, 정상인이 복용한다고 해서 치매가 예방되는 것은 아닙니다. 치매를 예방하기 위해서는 꾸준한 운동과, 규칙적인 식사, 지속적인 사회생활과 인지활동이 중요합니다.",
유사질문,1. 환자가 처방 받은 약은 OOOO 인데 이 약을 지금 정상인 내가 복용하면 치매를 예방할 수 있나요?,
,환자가 먹는 약을 제가 먹어도 치매 예방에 효과가 있나요?,
,OOOO를 일반인이 먹어도 예방 효과가 있나요?,
,환자가 처방받은 약은 OOOO 인데 이 약을 먹는다면 치매 예방에 도움이 될까요?,
,이 약이 치매 예방 효과도 있나요?,
,정상인이 복용하게되면 어떻게 되나요?,
,"정상인이 치매약을 먹으면, 치매가 예방되나요?",
,치매 예방약은 있는지요?,
,정상인이 OOOO를 먹으면 치매 예방이 되나요?,
,약이 치매를 예방할 수 있나요?,
답변,"해당 약제는 치매환자의 증상을 개선하기 위한 약제이며, 정상인이 복용한다고 해서 치매가 예방되는 것은 아닙니다. 치매를 예방하기 위해서는 꾸준한 운동과, 규칙적인 식사, 지속적인 사회생활과 인지활동이 중요합니다.",
유사질문,1. 환자가 처방 받은 약은 OOOO 인데 이 약을 지금 정상인 내가 복용하면 치매를 예방할 수 있나요?,
,환자가 처방받은 약은 OOOO 인데 이 약을 먹는다면 치매 예방에 도움이 될까요?,
,이 약이 치매 예방 효과도 있나요?,
,정상인이 복용하게되면 어떻게 되나요?,
,"치매 환자가 약을 먹는 것 이외에, 도움이 될만한 것들은 무엇이 있나요?",
,치매약을 먹으면 증상이 개선되나요?,
,약을 먹으면 치매를 예방할 수 있나요?,
답변,"음식은 지중해식 식사, 즉 신선한 야채와, 생선 등 단백질, 올리브유와 같은 식물성 기름 등이 좋은 영향을 줄 수 있습니다. 한가지 영양제나 식품을 집중적으로 섭취하는 것 보다는 전반적으로 건강한 식습관과 운동을 병행하는 것이 도움이 됩니다. ",
유사질문,1. 무엇을 먹어야 치매를 예방할 수 있나요?,
,치매에 좋은 음식은 어떤 게 있나요?,
,치매를 방지하려면 어떤 것을 먹어야 좋을까요?,
,치매 예방에 도움이 되는 영양제나 식품이 있을까요?,
,치매에 좋은 음식들이 있을까요?,
,치매에 도움이 되는 음식들이 있을까요?,
,치매 걸린 사람에게 좋은 음식이 무엇이 있나요?,
,어떤게 치매 예방에 좋나요?,
,치매 예방에 도움되는것은 무엇인가요?,
