Q,A,label
1. 조현병 약을 먹으면 완치가 되나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
2. 약을 먹으면 치료가 가능한 질환인가요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
3. 약을 먹으면 의미 있는 삶을 사는 것이 가능한가요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
4. 약을 먹으면 일상생활을 하는 것에 문제가 없나요? ,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
5. 약을 먹으면 다른 사람들과 잘 지낼 수 있나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
조현병 치료제를 먹으면 증상이 나아지나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
한번 약을 먹으면 계속 먹어야 하나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
약을 꼭 먹어야 완치가 가능한가요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
약을 먹으면 치료에 호전이 있나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
약을 먹으면 정상으로 돌아갈 수 있나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
약이 완치를 시킬 수 있나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
약을 먹어야 완치가 되나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
치료를 하려면 약을 먹어야 하나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
의미 있는 삶을 살기 위해선 약을 먹어야 하나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
일상생활을 하기 위해선 약을 먹어야 하나요?,"조현병의 정확한 원인은 아직 분명히 알려져 있지 않습니다. 
그러나 가장 분명한 부분은 조현병 환자의 뇌에서 도파민을 비롯한 다양한 신경전달물질의 불균형이 관찰된다는 것입니다. 
약물치료는 이러한 신경전달물질의 교란을 비교적 신속하고 정확하게 교정하는 역할을 하고 있습니다. 
따라서 몸속의 세균을 제거하는 것과 같이 생각하기보다는 증상의 호전 및 기능 회복을 통해서 일상생활 복귀라는 개념으로 치료의 목표를 생각하시는 것이 도움이 됩니다. 
일부의 환자에서는 증상 호전 이후 약물 중단이 가능한 경우도 있지만, 중단 여부는 개인에 따라 다릅니다. ",0
